num_founder mean_children_num variance_children_num umi_len err_rate insertion-deletion-substitution replicate total_umi simulated_mean_children_num simulated_variance_children_num substitution_base indel_base simulated_insertion-deletion-substitution substitution_only_umi indel_umi uniq_umi tool clustering_threshold thread runtime_in_sec dedup_umi_cluster V-measure homogeneity_score completeness_score RPU_cutoff RPU_cutoff_model estimated_molecule
1000 100 200 12 0.005 1-1-40 1 100704 100.704 206 5690 293 1.000-1.093-40.643 5531 293 6419 UMI-nea 1 14 0.35 1155 0.9994 1.0000 0.9987 11 negbinom 1000
1000 100 200 12 0.005 1-1-40 1 100704 100.704 206 5690 293 1.000-1.093-40.643 5531 293 6419 umi-tools 1 1 1.53 1253 0.9987 0.9998 0.9977 NA NA 1253
1000 100 200 12 0.005 1-1-40 1 100704 100.704 206 5690 293 1.000-1.093-40.643 5531 293 6419 calib 1 14 0.18 1209 0.9897 0.9820 0.9975 NA NA 1209
1000 100 200 12 0.005 1-1-40 1 100704 100.704 206 5690 293 1.000-1.093-40.643 5531 293 6419 humid 1 1 1.39 1266 0.9978 0.9989 0.9966 NA NA 1266
1000 100 200 12 0.005 1-1-40 1 100704 100.704 206 5690 293 1.000-1.093-40.643 5531 293 6419 humid-fixed 1 1 1.39 1395 0.9984 1.0000 0.9968 NA NA 1395
1000 100 200 12 0.005 1-1-40 1 100704 100.704 206 5690 293 1.000-1.093-40.643 5531 293 6419 humid-fixed-max 1 1 1.39 1322 0.9957 0.9942 0.9971 NA NA 1322
1000 100 200 12 0.005 1-1-40 2 100935 100.935 185 5619 288 1.000-1.133-41.622 5455 287 6352 UMI-nea 1 14 0.35 1161 0.9993 1.0000 0.9987 11 negbinom 1000
1000 100 200 12 0.005 1-1-40 2 100935 100.935 185 5619 288 1.000-1.133-41.622 5455 287 6352 umi-tools 1 1 1.26 1247 0.9987 0.9997 0.9977 NA NA 1247
1000 100 200 12 0.005 1-1-40 2 100935 100.935 185 5619 288 1.000-1.133-41.622 5455 287 6352 calib 1 14 0.18 1225 0.9897 0.9821 0.9974 NA NA 1225
1000 100 200 12 0.005 1-1-40 2 100935 100.935 185 5619 288 1.000-1.133-41.622 5455 287 6352 humid 1 1 1.39 1253 0.9977 0.9988 0.9966 NA NA 1253
1000 100 200 12 0.005 1-1-40 2 100935 100.935 185 5619 288 1.000-1.133-41.622 5455 287 6352 humid-fixed 1 1 1.39 1385 0.9983 0.9999 0.9968 NA NA 1385
1000 100 200 12 0.005 1-1-40 2 100935 100.935 185 5619 288 1.000-1.133-41.622 5455 287 6352 humid-fixed-max 1 1 1.39 1317 0.9950 0.9930 0.9971 NA NA 1317
1000 100 200 12 0.005 1-1-40 3 101261 101.261 191 5784 252 1.000-1.000-45.905 5623 252 6415 UMI-nea 1 14 0.36 1165 0.9992 0.9998 0.9986 10 negbinom 999
1000 100 200 12 0.005 1-1-40 3 101261 101.261 191 5784 252 1.000-1.000-45.905 5623 252 6415 umi-tools 1 1 1.30 1234 0.9988 0.9997 0.9979 NA NA 1234
1000 100 200 12 0.005 1-1-40 3 101261 101.261 191 5784 252 1.000-1.000-45.905 5623 252 6415 calib 1 14 0.17 1184 0.9891 0.9807 0.9977 NA NA 1184
1000 100 200 12 0.005 1-1-40 3 101261 101.261 191 5784 252 1.000-1.000-45.905 5623 252 6415 humid 1 1 1.40 1253 0.9980 0.9991 0.9970 NA NA 1253
1000 100 200 12 0.005 1-1-40 3 101261 101.261 191 5784 252 1.000-1.000-45.905 5623 252 6415 humid-fixed 1 1 1.40 1361 0.9985 1.0000 0.9971 NA NA 1361
1000 100 200 12 0.005 1-1-40 3 101261 101.261 191 5784 252 1.000-1.000-45.905 5623 252 6415 humid-fixed-max 1 1 1.39 1289 0.9958 0.9942 0.9974 NA NA 1289
10000 100 200 12 0.005 1-1-40 1 1009804 100.98 197 56895 2918 1.000-1.011-39.211 55314 2913 64197 UMI-nea 1 14 18.03 11911 0.9982 0.9980 0.9984 6 negbinom 9885
10000 100 200 12 0.005 1-1-40 1 1009804 100.98 197 56895 2918 1.000-1.011-39.211 55314 2913 64197 umi-tools 1 1 32.28 12246 0.9973 0.9980 0.9967 NA NA 12246
10000 100 200 12 0.005 1-1-40 1 1009804 100.98 197 56895 2918 1.000-1.011-39.211 55314 2913 64197 calib 1 14 2.20 3513 0.4345 0.2778 0.9964 NA NA 3513
10000 100 200 12 0.005 1-1-40 1 1009804 100.98 197 56895 2918 1.000-1.011-39.211 55314 2913 64197 humid 1 1 14.27 12560 0.9977 0.9983 0.9971 NA NA 12560
10000 100 200 12 0.005 1-1-40 1 1009804 100.98 197 56895 2918 1.000-1.011-39.211 55314 2913 64197 humid-fixed 1 1 14.26 13754 0.9983 0.9994 0.9972 NA NA 13754
10000 100 200 12 0.005 1-1-40 1 1009804 100.98 197 56895 2918 1.000-1.011-39.211 55314 2913 64197 humid-fixed-max 1 1 22.09 10216 0.9694 0.9426 0.9978 NA NA 10216
10000 100 200 12 0.005 1-1-40 2 1010701 101.07 199 56803 2833 1.000-1.038-40.865 55210 2833 64088 UMI-nea 1 14 17.06 11875 0.9984 0.9982 0.9985 7 negbinom 9902
10000 100 200 12 0.005 1-1-40 2 1010701 101.07 199 56803 2833 1.000-1.038-40.865 55210 2833 64088 umi-tools 1 1 32.39 12269 0.9973 0.9980 0.9967 NA NA 12269
